# Glossary format: morpheme | short_gloss | homeLangDetails (auto-filled into dict entries)

# Prefixes
-schaft | -ship/-hood | Forms collective or abstract nouns, similar to English -ship or -hood. Freundschaft (friendship), Gesellschaft (society, a being-together of people), Wissenschaft (science, knowledge-craft).
-lich | -ly/-like | Turns nouns or verbs into adjectives meaning like or characteristic of. Freundlich (friendly), taeglich (daily), moeglich (possible). Often matches English -ly or -like.
-ig | -y/-ish | Forms adjectives meaning having the quality of or characterized by. Hungrig (hungry), wichtig (important, weighty), maechtig (powerful, mighty).
-los | -less | The German suffix for without, matching English -less. Sinnlos (senseless), hoffnungslos (hopeless), grenzenlos (limitless).
-bar | -able | Signals that something can be done, matching English -able or -ible. Machbar (doable), erkennbar (recognizable), verwendbar (usable).
-sam | -some | A suffix meaning inclined toward or characterized by. Langsam (slow), achtsam (mindful), gemeinsam (shared or common, together-inclined).
-er | -er | Forms agent nouns -- the person or thing that does the action. Lehrer (teacher), Fahrer (driver), Baecker (baker). One of the most productive suffixes in German.
-en | (infinitive) | The standard infinitive ending for German verbs, equivalent to English to. All German infinitives end in -en or rarely -n. It also appears in plural noun forms, so context matters.
-isch | -ish/-ic | Forms adjectives, often for things relating to a field, style, or origin. Technisch (technical), kindisch (childish), typisch (typical).

# Linking elements (Fugenlaute -- no independent meaning)
-s- | - | A Fugenlaut, a connective sound inserted between compound parts for ease of pronunciation. It carries no meaning of its own and is one of the most common linking elements in German compounds.
-es- | - | A Fugenlaut variant inserted between compound parts. Like -s-, it carries no independent meaning and exists purely to smooth the join between morphemes.
-en- | - | A Fugenlaut variant inserted between compound parts. It looks like a plural ending but here carries no grammatical meaning -- it just connects the parts.

# Prefixes
zer- | apart, to pieces | Think of English "scatter" or "shatter" -- zer- takes a verb and adds the sense of breaking something into pieces or destroying it completely. It's very productive and consistent: *zerstören* (to destroy), *zerbrechen* (to break apart), *zerschneiden* (to cut up). If something gets zer-ed, it probably won't be usable afterward.
über- | over, above, across | This one maps almost perfectly onto English "over-" in both its physical and figurative senses. You'll see it meaning physically above (*überbrücken*, to bridge over), exceeding a limit (*übertreiben*, to exaggerate, literally to over-drive), or covering something completely (*übersetzen*, to translate, to ferry across). Watch out -- it can be separable or inseparable depending on the verb.
# Suffixes
-nis | result, state, thing | This suffix turns verbs or adjectives into nouns, usually naming the result or condition of something. It's a bit like English "-ness" or "-ment" in feel. Common examples include *Ergebnis* (result), *Kenntnis* (knowledge), and *Erlebnis* (experience). Nouns ending in -nis are usually neuter, though a handful are feminine.
-schaft | -ship, -hood, -dom | You'll recognize this one immediately from English "-ship" -- they're actually cognates. It forms nouns describing a collective group, a shared condition, or an abstract relationship. Think *Freundschaft* (friendship), *Gesellschaft* (society, company), and *Mannschaft* (team). It always produces a feminine noun, so it's always die -schaft.
# Roots and stems
-fahr- | travel, journey, ride | This root comes from the verb *fahren* (to travel, to drive, to ride) and shows up across a huge family of everyday words. You'll spot it in *Erfahrung* (experience, literally a journeying-through), *Gefahr* (danger, from an old sense of what you encounter on a journey), *Fahrzeug* (vehicle), and *Bahnhof* (well, paired with *fahren* in countless compound signs). Recognizing it helps unlock a surprisingly wide cluster of common vocabulary.
